subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,loom_onset_ms,d7_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,distance_m,loom_start_m,loom_end_m,vibration_device,trial_interrupted,timestamp
P001,1,1,38,V,0,fast,narrow,,563880.333,563880.333,564393.737,564393.737,564616.262,564838.342,565060.506,565297.528,565505.221,565726.826,,,,,2.250,0.250,None,0,2026-07-23T15:22:33.3628141+02:00
P001,1,1,39,VT,1,fast,narrow,D1,567156.731,567156.731,567670.913,567670.913,567879.151,568101.436,568337.372,568559.119,568781.321,569003.932,569003.932,569281.550,277.6,0.250,2.250,0.250,None,0,2026-07-23T15:22:36.9039760+02:00
P001,1,1,40,VT,1,slow,narrow,D4,570780.668,570780.668,572280.910,572280.910,572947.704,573614.130,574280.798,574947.209,575613.430,576279.925,574280.798,574905.344,624.5,1.250,2.250,0.250,None,0,2026-07-23T15:22:43.9151700+02:00
P001,1,1,41,V,0,slow,narrow,,585792.714,585792.714,587305.866,587305.866,587972.250,588639.089,589305.443,589971.948,590638.333,591305.309,,,,,2.250,0.250,None,0,2026-07-23T15:22:58.9385351+02:00
P001,1,1,42,V,0,fast,narrow,,593110.397,593110.397,593610.603,593610.603,593819.128,594041.796,594263.497,594486.413,594708.422,594943.905,,,,,2.250,0.250,None,0,2026-07-23T15:23:02.5794187+02:00
P001,1,1,43,V,0,fast,narrow,,596762.713,596762.713,597276.469,597276.469,597484.990,597707.355,597943.269,598165.410,598374.313,598596.493,,,,,2.250,0.250,None,0,2026-07-23T15:23:06.2321556+02:00
P001,1,1,44,V,0,fast,narrow,,600373.608,600373.608,600887.978,600887.978,601109.789,601318.771,601554.961,601762.874,601984.897,602220.969,,,,,2.250,0.250,None,0,2026-07-23T15:23:09.8581388+02:00
P001,1,1,45,VT,0,fast,narrow,D4,603748.242,603748.242,604262.019,604262.019,604470.197,604706.152,604914.702,605137.375,605358.985,605581.492,604914.702,,,1.250,2.250,0.250,None,0,2026-07-23T15:23:16.0121926+02:00
P001,1,1,46,VT,1,slow,narrow,D7,609914.183,609914.183,611427.821,611427.821,612094.153,612760.837,613414.222,614080.848,614761.069,615413.933,611427.821,611955.138,527.3,2.250,2.250,0.250,None,0,2026-07-23T15:23:23.0628445+02:00
P001,1,1,47,T,1,slow,narrow,D7,616982.167,,,,,,,,,,618495.708,618898.297,402.6,2.250,2.250,0.250,None,0,2026-07-23T15:23:30.1298583+02:00
P001,1,1,48,V,0,fast,narrow,,624036.669,624036.669,624549.245,624549.245,624771.775,624980.046,625202.454,625424.499,625660.472,625882.829,,,,,2.250,0.250,None,0,2026-07-23T15:23:33.5176777+02:00
P001,1,1,49,VT,0,fast,narrow,D4,627132.437,627132.437,627645.654,627645.654,627867.898,628090.111,628298.808,628520.682,628742.964,628965.141,628298.808,,,1.250,2.250,0.250,None,0,2026-07-23T15:23:38.2422126+02:00
P001,1,1,50,VT,1,fast,narrow,D2,632033.979,632033.979,632548.090,632548.090,632756.448,632992.305,633214.459,633436.679,633658.868,633881.354,633658.868,634033.855,375.0,0.583,2.250,0.250,None,0,2026-07-23T15:23:41.6564701+02:00
P001,1,1,51,V,0,slow,narrow,,635241.996,635241.996,636755.681,636755.681,637421.843,638088.414,638755.207,639421.707,640088.295,640754.807,,,,,2.250,0.250,None,0,2026-07-23T15:23:48.3906346+02:00
P001,1,1,52,VT,1,slow,narrow,D7,642393.984,642393.984,643907.457,643907.457,644560.202,645240.800,645907.410,646573.704,647240.865,647907.155,643907.457,644296.727,389.3,2.250,2.250,0.250,None,0,2026-07-23T15:23:55.5423661+02:00
P001,1,1,53,VT,0,slow,narrow,D4,649392.361,649392.361,650892.387,650892.387,651545.255,652225.244,652891.565,653558.411,654225.204,654891.366,652891.565,,,1.250,2.250,0.250,None,0,2026-07-23T15:24:03.9319595+02:00
P001,1,1,54,VT,1,fast,narrow,D5,657598.868,657598.868,658113.099,658113.099,658335.408,658543.824,658779.766,658988.813,659223.747,659445.628,658543.824,659002.873,459.0,1.583,2.250,0.250,None,0,2026-07-23T15:24:07.0816835+02:00
P001,1,1,55,VT,1,fast,narrow,D7,661168.296,661168.296,661681.871,661681.871,661890.338,662112.377,662335.129,662556.796,662793.236,663015.691,661681.871,662028.907,347.0,2.250,2.250,0.250,None,0,2026-07-23T15:24:10.6515520+02:00
P001,1,1,56,V,0,fast,narrow,,664417.868,664417.868,664931.973,664931.973,665140.615,665363.325,665585.309,665807.247,666029.345,666265.338,,,,,2.250,0.250,None,0,2026-07-23T15:24:13.9007123+02:00
P001,1,1,57,V,0,fast,narrow,,667681.984,667681.984,668195.771,668195.771,668403.910,668639.904,668862.519,669070.577,669306.477,669529.025,,,,,2.250,0.250,None,0,2026-07-23T15:24:17.1642051+02:00
P001,1,1,58,T,0,fast,narrow,D3,671305.681,,,,,,,,,,672708.119,,,0.917,2.250,0.250,None,0,2026-07-23T15:24:22.9301916+02:00
P001,1,1,59,T,1,fast,narrow,D7,676818.852,,,,,,,,,,677319.057,677986.097,667.0,2.250,2.250,0.250,None,0,2026-07-23T15:24:26.2743112+02:00
P001,1,1,60,VT,1,fast,narrow,D2,680194.289,680194.289,680707.998,680707.998,680929.923,681152.118,681374.397,681596.514,681818.791,682041.281,681818.791,682221.538,402.7,0.583,2.250,0.250,None,0,2026-07-23T15:24:29.8445694+02:00
P001,1,1,61,V,0,slow,narrow,,687497.922,687497.922,689011.472,689011.472,689677.979,690344.297,691010.669,691677.489,692344.058,693010.542,,,,,2.250,0.250,None,0,2026-07-23T15:24:40.6458881+02:00
P001,1,1,62,VT,1,fast,narrow,D5,694663.384,694663.384,695177.383,695177.383,695399.790,695621.485,695843.612,696065.989,696287.866,696510.348,695621.485,696121.506,500.0,1.583,2.250,0.250,None,0,2026-07-23T15:24:44.1461409+02:00
P001,1,1,63,VT,1,slow,narrow,D3,698287.315,698287.315,699800.879,699800.879,700453.708,701133.927,701800.118,702466.770,703133.301,703799.874,702466.770,702800.005,333.2,0.917,2.250,0.250,None,0,2026-07-23T15:24:51.4345048+02:00
P001,1,1,64,V,0,slow,narrow,,705466.159,705466.159,706979.838,706979.838,707632.684,708299.709,708966.273,709632.894,710299.723,710966.036,,,,,2.250,0.250,None,0,2026-07-23T15:24:58.6014923+02:00
P001,1,1,65,V,0,slow,narrow,,712244.228,712244.228,713757.693,713757.693,714411.042,715077.312,715757.633,716424.109,717090.969,717757.118,,,,,2.250,0.250,None,0,2026-07-23T15:25:05.3925972+02:00
P001,1,1,66,VT,1,slow,narrow,D6,719353.917,719353.917,720867.142,720867.142,721520.618,722186.824,722853.681,723520.469,724187.298,724853.850,721520.618,722089.520,568.9,1.917,2.250,0.250,None,0,2026-07-23T15:25:12.4889561+02:00
P001,1,1,67,V,0,fast,narrow,,726422.612,726422.612,726922.206,726922.206,727144.574,727366.820,727588.978,727810.975,728033.545,728255.662,,,,,2.250,0.250,None,0,2026-07-23T15:25:15.8908954+02:00
P001,1,1,68,VT,0,slow,narrow,D1,730074.620,730074.620,731574.689,731574.689,732227.309,732907.203,733573.610,734239.998,734906.656,735572.693,735572.693,,,0.250,2.250,0.250,None,0,2026-07-23T15:25:25.9607112+02:00
P001,1,1,69,VT,1,slow,narrow,D2,740058.176,740058.176,741571.971,741571.971,742238.198,742904.690,743571.197,744237.704,744904.206,745571.030,744904.206,745237.705,333.5,0.583,2.250,0.250,None,0,2026-07-23T15:25:33.2072502+02:00
P001,1,1,70,VT,1,fast,narrow,D3,746987.694,746987.694,747487.816,747487.816,747709.848,747932.700,748154.532,748376.560,748598.778,748821.054,748376.560,748848.892,472.3,0.917,2.250,0.250,None,0,2026-07-23T15:25:36.4716364+02:00
P001,1,1,71,VT,1,slow,narrow,D1,750056.495,750056.495,751570.238,751570.238,752236.728,752889.896,753556.570,754223.323,754903.482,755569.465,755569.465,755944.845,375.4,0.250,2.250,0.250,None,0,2026-07-23T15:25:43.5674824+02:00
P001,1,1,72,V,0,slow,narrow,,757569.185,757569.185,759082.676,759082.676,759748.845,760415.485,761082.262,761748.721,762415.238,763081.638,,,,,2.250,0.250,None,0,2026-07-23T15:25:50.7168910+02:00
P001,1,1,73,V,0,slow,narrow,,764678.647,764678.647,766192.108,766192.108,766858.880,767525.481,768191.982,768858.474,769525.362,770191.253,,,,,2.250,0.250,None,0,2026-07-23T15:25:57.8270011+02:00
P001,1,1,74,VT,0,slow,narrow,D7,771982.556,771982.556,773483.031,773483.031,774149.455,774815.688,775482.175,776148.700,776815.447,777482.061,773483.031,,,2.250,2.250,0.250,None,0,2026-07-23T15:26:06.3394471+02:00
P001,1,1,75,T,1,slow,narrow,D4,780161.980,,,,,,,,,,783675.807,784161.750,485.9,1.250,2.250,0.250,None,0,2026-07-23T15:26:13.3103034+02:00
P001,1,1,76,VT,1,fast,narrow,D7,787049.966,787049.966,787563.640,787563.640,787785.703,788008.148,788230.673,788438.790,788674.489,788897.007,787563.640,788146.981,583.3,2.250,2.250,0.250,None,0,2026-07-23T15:26:16.5326419+02:00
P001,1,1,77,VT,1,fast,narrow,D3,790285.420,790285.420,790799.289,790799.289,791021.545,791243.484,791465.672,791687.783,791910.230,792132.067,791687.783,791993.457,305.7,0.917,2.250,0.250,None,0,2026-07-23T15:26:19.7674573+02:00
P001,1,1,78,VT,1,slow,narrow,D6,793423.685,793423.685,794923.625,794923.625,795576.858,796243.330,796910.176,797576.788,798257.007,798923.601,795576.858,796048.750,471.9,1.917,2.250,0.250,None,0,2026-07-23T15:26:26.5591856+02:00
P001,1,1,79,VT,1,slow,narrow,D5,800270.568,800270.568,801783.759,801783.759,802450.484,803116.847,803783.448,804449.806,805116.201,805782.832,803116.847,803464.245,347.4,1.583,2.250,0.250,None,0,2026-07-23T15:26:33.4181393+02:00
P001,1,1,80,V,0,fast,narrow,,807199.372,807199.372,807714.426,807714.426,807934.814,808157.099,808379.403,808601.461,808823.888,809046.422,,,,,2.250,0.250,None,0,2026-07-23T15:26:36.6819988+02:00
P001,1,1,81,V,0,slow,narrow,,813850.744,813850.744,815364.166,815364.166,816017.218,816697.960,817364.548,818030.809,818697.299,819363.676,,,,,2.250,0.250,None,0,2026-07-23T15:26:46.9990583+02:00
P001,1,1,82,VT,1,fast,narrow,D3,820877.053,820877.053,821377.305,821377.305,821599.351,821821.986,822030.331,822266.261,822488.302,822710.548,822266.261,822668.548,402.3,0.917,2.250,0.250,None,0,2026-07-23T15:26:50.3475176+02:00
P001,1,1,83,VT,1,slow,narrow,D5,824390.626,824390.626,825904.072,825904.072,826557.113,827223.612,827904.577,828612.294,829223.625,829903.901,827223.612,827613.050,389.4,1.583,2.250,0.250,None,0,2026-07-23T15:26:57.5393056+02:00
P001,1,1,84,T,1,fast,narrow,D5,831153.912,,,,,,,,,,832112.201,832487.168,375.0,1.583,2.250,0.250,None,0,2026-07-23T15:27:00.6360268+02:00
P001,1,1,85,V,0,slow,narrow,,834500.911,834500.911,836014.651,836014.651,836667.196,837347.801,838013.922,838680.692,839347.028,840013.615,,,,,2.250,0.250,None,0,2026-07-23T15:27:07.6492917+02:00
P001,1,1,86,VT,0,fast,narrow,D2,841555.226,841555.226,842068.191,842068.191,842290.675,842500.496,842734.697,842957.185,843179.134,843401.930,843179.134,,,0.583,2.250,0.250,None,0,2026-07-23T15:27:15.2753151+02:00
P001,1,1,87,VT,1,slow,narrow,D2,849150.330,849150.330,850664.224,850664.224,851415.734,851992.535,852660.475,853328.015,853995.562,854662.441,853995.562,854370.742,375.2,0.583,2.250,0.250,None,0,2026-07-23T15:27:22.2976495+02:00
P001,1,1,88,VT,1,fast,narrow,D1,855898.938,855898.938,856398.861,856398.861,856607.364,856829.612,857065.628,857287.914,857496.317,857732.226,857732.226,857773.702,41.5,0.250,2.250,0.250,None,0,2026-07-23T15:27:25.3956778+02:00
P001,1,1,89,VT,1,slow,narrow,D4,859496.337,859496.337,861009.240,861009.240,861676.420,862342.944,863009.138,863676.394,864342.674,865008.868,863009.138,863314.647,305.5,1.250,2.250,0.250,None,0,2026-07-23T15:27:32.6442864+02:00
P001,1,1,90,V,0,slow,narrow,,866620.108,866620.108,868119.588,868119.588,868786.294,869452.570,870119.128,870786.059,871451.925,872118.716,,,,,2.250,0.250,None,0,2026-07-23T15:27:39.7539574+02:00
P001,1,1,91,VT,0,fast,narrow,D6,873729.899,873729.899,874243.468,874243.468,874465.237,874674.214,874896.366,875132.368,875340.906,875576.020,874465.237,,,1.917,2.250,0.250,None,0,2026-07-23T15:27:45.2283445+02:00
P001,1,1,92,VT,1,slow,narrow,D5,879243.608,879243.608,880756.584,880756.584,881423.371,882089.685,882755.912,883423.171,884090.089,884756.846,882089.685,882437.044,347.4,1.583,2.250,0.250,None,0,2026-07-23T15:27:52.3926872+02:00
P001,1,1,93,V,0,fast,narrow,,886006.712,886006.712,886520.053,886520.053,886742.426,886964.732,887186.877,887409.003,887617.852,887840.063,,,,,2.250,0.250,None,0,2026-07-23T15:27:55.4751918+02:00
P001,1,1,94,VT,1,fast,narrow,D7,889533.617,889533.617,890047.791,890047.791,890256.008,890491.761,890714.231,890922.546,891158.560,891380.630,890047.791,890422.786,375.0,2.250,2.250,0.250,None,0,2026-07-23T15:27:59.0160886+02:00
P001,1,1,95,VT,1,fast,narrow,D7,892713.624,892713.624,893227.471,893227.471,893435.932,893672.003,893880.419,894102.449,894324.985,894547.192,893227.471,893741.125,513.7,2.250,2.250,0.250,None,0,2026-07-23T15:28:02.1827573+02:00
P001,1,1,96,VT,1,slow,narrow,D6,895949.106,895949.106,897462.923,897462.923,898115.929,898782.858,899448.924,900129.214,900795.691,901462.137,898115.929,898518.545,402.6,1.917,2.250,0.250,None,0,2026-07-23T15:28:09.0979043+02:00
P001,1,1,97,VT,1,fast,narrow,D2,902697.374,902697.374,903210.990,903210.990,903419.480,903641.782,903864.232,904086.096,904308.279,904544.055,904308.279,904669.114,360.8,0.583,2.250,0.250,None,0,2026-07-23T15:28:12.2915613+02:00
P001,1,1,98,VT,1,fast,narrow,D1,906016.076,906016.076,906530.227,906530.227,906751.744,906974.016,907196.724,907418.788,907640.854,907862.721,907862.721,908115.002,252.3,0.250,2.250,0.250,None,0,2026-07-23T15:28:15.7377545+02:00
P001,1,2,1,VT,1,fast,narrow,D4,970754.610,970754.610,971254.832,971254.832,971477.100,971699.382,971921.529,972143.785,972365.811,972587.850,971921.529,972435.307,513.8,1.250,2.250,0.250,None,0,2026-07-23T15:29:20.2232011+02:00
