trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T67,1,VT,D1,slow,narrow,597182.793,597182.793,597948.343,598338.099,598672.195,599020.075,599396.070,600162.085,,600481.971,True
B1_T68,1,VT,D5,fast,wide,601692.970,601692.970,601943.698,602069.159,602180.589,602305.651,602430.798,602681.335,,602347.027,True
B1_T69,1,T,D2,fast,wide,,,,,,,,,,607804.336,True
B1_T70,1,VT,D7,slow,wide,610129.202,610129.202,610894.558,611285.092,611618.777,611966.840,612342.993,613108.738,,610825.307,True
B1_T71,1,VT,D2,slow,wide,614347.842,614347.842,615113.473,615503.049,615837.335,616185.681,616560.958,617326.703,,617034.386,True
B1_T72,1,VT,D5,fast,wide,618566.030,618566.030,618816.634,618941.811,619053.388,619178.655,619303.997,619554.632,,619164.721,True
B1_T73,1,V,,slow,wide,622784.261,622784.261,623550.250,623939.718,624273.915,624622.175,624997.990,625763.574,,,False
B1_T74,1,VT,D4,slow,narrow,627003.010,627003.010,627768.531,628158.294,628492.397,628840.503,629216.272,629982.060,,628798.598,True
B1_T75,1,VT,D3,slow,wide,631220.994,631220.994,631986.868,632376.953,632711.066,633059.347,633435.183,634201.013,,633281.834,True
B1_T76,1,T,D4,slow,narrow,,,,,,,,,,637848.751,True
B1_T77,1,VT,D3,slow,narrow,639657.987,639657.987,640423.568,640813.624,641148.272,641495.450,641871.616,642637.222,,641899.392,True
B1_T78,1,VT,D1,slow,narrow,643876.504,643876.504,644641.956,645032.126,645366.319,645714.330,646090.162,646855.881,,647149.622,True
B1_T79,1,VT,D7,fast,narrow,648359.859,648359.859,648610.545,648735.722,648847.031,648972.340,649097.666,649348.322,,649000.194,True
B1_T80,1,T,D7,slow,wide,,,,,,,,,,653343.693,True
B1_T81,1,V,,fast,narrow,656797.088,656797.088,657047.478,657172.560,657284.186,657409.304,657534.325,657785.200,,,False
B1_T82,1,V,,slow,narrow,661014.549,661014.549,661779.945,662170.620,662645.804,662851.891,663227.754,663993.767,,,False
B1_T83,1,VT,D7,fast,narrow,665232.645,665232.645,665483.189,665609.161,665720.082,665832.315,665971.287,666221.416,,665761.741,True
B1_T84,1,T,D1,fast,narrow,,,,,,,,,,671372.504,True
B1_T85,1,VT,D2,fast,wide,673669.672,673669.672,673920.337,674045.517,674156.564,674282.108,674407.368,674657.934,,674727.514,True
B1_T86,1,V,,fast,narrow,677887.725,677887.725,678138.414,678263.606,678375.162,678500.378,678625.757,678876.277,,678639.878,True
B1_T87,1,T,D4,fast,wide,,,,,,,,,,687091.066,True
B1_T88,1,VT,D2,slow,narrow,688302.251,688302.251,689068.377,689458.262,689792.081,690140.242,690515.999,691281.482,,691392.608,True
B1_T89,1,VT,D3,fast,wide,692603.932,692603.932,692854.189,692979.733,693091.484,693216.622,693341.746,693592.026,,712693.375,True
B1_T90,1,VT,D3,fast,wide,713904.506,713904.506,714155.061,714280.450,714391.874,714517.544,714642.463,714893.141,,716452.396,True
B1_T91,1,T,D7,fast,narrow,,,,,,,,,,720781.730,True
B1_T92,1,T,D2,slow,narrow,,,,,,,,,,725682.090,True
B1_T93,1,V,,slow,wide,726893.479,726893.479,727658.950,728049.315,728383.107,728731.065,729107.227,729872.701,,729803.143,True
B1_T94,1,VT,D6,slow,narrow,731112.652,731112.652,731877.378,732267.216,732602.022,732949.697,733326.184,734091.817,,732420.765,True
B1_T95,1,T,D2,fast,narrow,,,,,,,,,,742932.555,True
B1_T96,1,VT,D6,fast,narrow,744143.389,744143.389,744393.909,744519.264,744630.760,744755.823,744881.264,745131.996,,782930.741,True
B1_T97,1,VT,D1,slow,wide,784142.055,784142.055,784907.849,785297.899,785631.799,785979.931,786355.468,787121.386,,787566.480,True
B1_T98,1,VT,D7,slow,narrow,788777.690,788777.690,789543.538,789933.704,790267.565,790615.349,790991.014,791756.907,,790587.646,True
B1_T99,1,VT,D4,fast,narrow,792996.230,792996.230,793246.945,793372.270,793483.154,793608.667,793733.689,793984.269,,793719.712,True
B1_T100,1,T,D3,slow,narrow,,,,,,,,,,800792.188,True
B1_T101,1,VT,D5,slow,narrow,802003.283,802003.283,802769.026,803158.935,803493.019,803841.230,804217.155,804983.093,,803493.019,True
B1_T102,1,VT,D4,fast,wide,806222.031,806222.031,806472.572,806597.240,806709.208,806834.354,806959.739,807210.599,,806793.023,True
B1_T103,1,VT,D1,fast,wide,810440.137,810440.137,810690.059,810815.374,810926.995,811052.466,811177.554,811428.406,,810968.680,True
B1_T104,1,VT,D5,fast,wide,814658.065,814658.065,814908.202,815033.579,815144.868,815270.477,815395.572,815646.232,,819419.426,True
B1_T105,1,VT,D1,fast,narrow,820630.681,820630.681,820881.346,821006.461,821117.845,821243.164,821368.594,821619.183,,829443.681,True
B1_T106,1,VT,D1,slow,narrow,830655.071,830655.071,831420.858,831810.572,832144.589,832492.559,832868.550,833634.110,,837560.926,True
B1_T107,1,VT,D1,fast,wide,838772.079,838772.079,839023.140,839147.416,839258.832,839384.114,839509.178,839760.017,,845106.482,True
B1_T108,1,T,D6,slow,narrow,,,,,,,,,,853904.372,True
B1_T109,1,T,D5,fast,narrow,,,,,,,,,,856619.371,True
B1_T110,1,V,,fast,wide,859431.109,859431.109,859681.971,859807.319,859932.280,860043.584,860169.770,860419.441,,,False
B1_T111,1,V,,fast,wide,863649.470,863649.470,863899.986,864025.322,864136.569,864262.026,864387.088,864638.155,,,False
B1_T112,1,V,,fast,wide,867868.099,867868.099,868118.508,868244.064,868355.162,868480.776,868606.004,868856.463,,868466.694,True
B1_T113,1,T,D7,slow,narrow,,,,,,,,,,873896.174,True
B1_T114,1,VT,D6,fast,wide,876304.690,876304.690,876555.334,876680.580,876792.058,876917.449,877042.895,877293.048,,881108.224,True
B1_T115,1,VT,D4,slow,wide,882319.691,882319.691,883085.223,883475.030,883808.870,884157.152,884532.906,885298.778,,884170.890,True
B1_T116,1,VT,D1,slow,wide,886537.565,886537.565,887303.140,887693.037,888027.334,888375.051,888750.962,889516.978,,890240.775,True
B1_T117,1,T,D5,fast,wide,,,,,,,,,,897090.521,True
B1_T118,1,VT,D2,fast,wide,898301.592,898301.592,898552.314,898677.566,898788.902,898914.223,899039.474,899290.027,,899512.846,True
B1_T119,1,VT,D4,fast,narrow,902519.998,902519.998,902770.568,902895.746,903007.273,903132.790,903258.044,903508.541,,903215.912,True
B1_T120,1,VT,D4,fast,wide,906738.391,906738.391,906989.559,907114.785,907226.025,907351.077,907476.449,907726.815,,907531.793,True
B1_T121,1,VT,D6,slow,wide,910956.458,910956.458,911722.580,912112.280,912446.378,912794.337,913170.229,913935.942,,912320.934,True
B1_T122,1,VT,D6,fast,wide,915175.075,915175.075,915425.789,915550.892,915662.333,915787.769,915913.135,916163.478,,915829.333,True
B1_T123,1,VT,D1,fast,narrow,919393.469,919393.469,919644.474,919769.235,919880.676,920005.894,920131.449,920382.188,,920855.250,True
B1_T124,1,T,D1,fast,wide,,,,,,,,,,929445.663,True
B1_T125,1,V,,fast,narrow,930657.186,930657.186,930907.602,931032.209,931143.647,931268.819,931394.094,931644.790,,,False
B1_T126,1,VT,D1,slow,wide,934875.379,934875.379,935640.195,936030.388,936364.633,936712.938,937088.731,937854.168,,938634.142,True
B1_T127,1,V,,slow,narrow,939844.961,939844.961,940610.498,941000.851,941334.788,941682.932,942058.517,942824.434,,,False
B1_T128,1,VT,D7,fast,wide,944063.486,944063.486,944314.441,944439.482,944551.035,944676.674,944801.873,945052.272,,949131.584,True
B1_T129,1,VT,D6,fast,narrow,950342.723,950342.723,950593.339,950718.626,950829.988,950955.510,951080.815,951331.264,,951038.783,True
B1_T130,1,VT,D4,fast,narrow,954561.354,954561.354,954812.110,954937.498,955048.860,955173.767,955299.206,955549.979,,959197.128,True
B1_T131,1,V,,fast,narrow,960408.121,960408.121,960658.842,960784.600,960895.419,961020.633,961146.080,961396.916,,,False
B1_T132,1,VT,D5,fast,narrow,964626.349,964626.349,964877.128,965002.101,965113.683,965239.427,965364.288,965615.035,,965392.334,True
B1_T133,1,VT,D5,slow,narrow,968845.235,968845.235,969611.226,970001.010,970334.953,970682.751,971058.716,971824.530,,970320.772,True
B1_T134,1,VT,D3,slow,narrow,973063.642,973063.642,973829.417,974219.187,974553.478,974901.430,975277.119,976042.769,,975221.265,True
B1_T135,1,VT,D2,fast,narrow,977281.848,977281.848,977532.400,977657.796,977769.822,977894.309,978019.575,978270.162,,978340.230,True
B1_T136,1,T,D6,fast,narrow,,,,,,,,,,982990.114,True
B1_T137,1,VT,D6,fast,wide,985718.585,985718.585,985968.973,986094.282,986205.749,986331.368,986456.098,986707.114,,1011098.906,True
B1_T138,1,VT,D5,slow,wide,1012310.198,1012310.198,1013075.957,1013465.976,1013800.087,1014147.989,1014524.054,1015290.629,,1013855.652,True
B1_T139,1,T,D1,slow,wide,,,,,,,,,,1039262.910,True
B1_T140,1,V,,slow,wide,1040474.050,1040474.050,1041239.559,1041629.325,1041963.779,1042311.779,1042687.536,1043467.144,,,False
